Overview,book,pages,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning ,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,pedagogical focus,literary elements,guiding standard,General Descriptors,genre,theme/topic,subgenre
,Romeo and Juliet,257,Shakespeare's play about two young people who defy their warring families' prejudices and dare to fall in love.,Wiliam Shakespeare,1595,,,Very Complex,Very Complex,Exceedingly Complex,Very Complex,,700,15,8.6,8-12th grade,,complex language conventions and vocabulary; historical literary piece with accessible and well-known plot,"figurative language, plot, character development, conflict, theme","RL.9-10.1 Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
RL.9-10.2 Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text.
RL.9-10.3 Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme.
RL.9-10.4 Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language evokes a sense of time and place; how it sets a formal or informal tone).
RL.9-10.5 Analyze how an author’s choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise.",,"classic, drama",tragedy,"vendetta, romantic, tear-jerker, british, european, forbidden love, family feuds"
,To Kill a Mockingbird,323,"Scout Finch, daughter of the town lawyer, likes to spend her summers building treehouses, swimming, and catching lightning bugs with her big brother Jem. But one summer, when a black man is accused of raping a white woman, Scout's carefree days come to an end. In the county courtroom, she will join her father in a desperate battle against ignorance and prejudice.",Harper Lee,1960,,,Very Complex,Very Complex,Very Complex,Very Complex,,790,7.72,7.03,7-12th grade,,character development; themes related to race and racism,"theme, character development, conflict/ plot, point of view","RL.9-10.2 Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text. 
RL.9-10.3 Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme. 
RL.9-10.4 Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language evokes a sense of time and place; how it sets a formal or informal tone). 
RL.9-10.6 Analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature. 
RL.9-10.10 By the end of grade 9, read and comprehend literature, including stories, dramas, and poems, in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range. 
RL.11-12.3 Analyze the impact of the author’s choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed). 
RL.11-12.6 Analyze a case in which grasping a point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement). 
RL.11-12.7 Analyze multiple interpretations of a story, drama, or poem (e.g., recorded or live production of a play or recorded novel or poetry), evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.) 
RL.11-12.10 By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.
RI.9-10.2 Determine a central idea of a text and analyze its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text.",,historical fiction,facing racism,"bittersweet, moving, thought-provoking, modern classic, race and racism"
,Great Gatsby,216,"Newly rich Jay Gatsby tries to recapture the past and win back Daisy Buchanan, his former love, despite the fact she has married.",F. Scott Fitzgerald,1925,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,1010,11,7.3,10-12th grade,,character development; point of view,"theme, plot, character, point of view","RL.11-12.2 Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text. 
RL.11-12.3 Analyze the impact of the author’s choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed). 
RL.11-12.6 Analyze a case in which grasping a point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement). 
RL.11-12.10 By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.
L.11-12.6 Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression. ",,realistic fiction,"toxic relationships, unreliable narrator, revenge love, class and society","romantic, american dream, revenge love, forbidden love, atmospheric"
,Of Mice and Men,118,"The tragic story of two itinerant ranch hands on the run during the Great Depression--one is the lifelong companion to the other, a developmentally disabled man.",John Steinbeck,1937,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,630,5.34,5.14,7-12th grade,,character development,"theme, character development","RL.9-10.1 Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text. CCSS RL. 9-10.2 Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text
RL.9-10.3 Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme. 
RL.9-10.4 Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language evokes a sense of time and place; how it sets a formal or informal tone). 
RL.9-10.10 By the end of grade 10, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 9–10 text complexity band independently and proficiently. ",,realistic fiction,"pursuit of happiness, toxic capitalism, social justice","bleak, haunting, melancholy, moving, flawed friendship, social justice, American dream"
,Lord of the Flies,224,The classic study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island.,William Golding,1954,,,Very Complex,Very Complex,Very Complex,Very Complex,,770,7.03,7.72,7-12th grade,,"figurative language, symbolism, theme","plot, character development, conflict, theme, figurative language","RL.9-10.1 Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text. RL.9-10.2 Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text. RL.9-10.3 Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme. RL.9-10.4 Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language evokes a sense of time and place; how it sets a formal or informal tone). RL.9-10.5 Analyze how an author’s choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise. RL.9-10.6 Analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature. RL.11-12.1 Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain. RL.11-12.2 Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text. RL.11-12.3 Analyze the impact of the author’s choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed).
RL.11-12.5 Analyze how an author’s choices concerning how to structure specific parts of a text (e.g., the choice of where to begin or end a story, the choice to provide a comedic or tragic resolution) contribute to its overall structure and meaning as well as its aesthetic impact. 
RL.11-12.6 Analyze a case in which grasping a point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement).
RI.9-10.1 Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text. 
RI.9-10.2 Determine a central idea of a text and analyze its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text. 
RI.9-10.3 Analyze how the author unfolds an analysis or series of ideas or events, including the order in which the points are made, how they are introduced and developed, and the connections that are drawn between them. ",,psychological fiction,"human nature, loss of innocence, war and future of mankind","bleak, thought-provoking, disturbing, haunting, teen-drama"
,Fahrenheit 451,,,,,,,,,,,,,,,,,,,,,,,
,Animal Farm,,,,,,,,,,,,,,,,,,,,,,,
,Julius Caesar,,,,,,,,,,,,,,,,,,,,,"classic, drama",,
,Macbeth,,,,,,,,,,,,,,,,,,,,,"classic, drama",,
,1984,,,,,,,,,,,,,,,,,,,,,,,
,"Odyssey, The",,,,,,,,,,,,,,,,,,,,,,,
,"Crucible, The",,,,,,,,,,,,,,,,,,,,,"classic, drama",,
,"Scarlet Letter, The",,,,,,,,,,,,,,,,,,,,,,,
,Huckleberry Finn,,,,,,,,,,,,,,,,,,,,,,,
,Grapes of Wrath,,,,,,,,,,,,,,,,,,,,,,,
,Hamlet,,,,,,,,,,,,,,,,,,,,,"classic, drama",,
,Frankenstein,,,,,,,,,,,,,,,,,,,,,,,
,Beowulf,,,,,,,,,,,,,,,,,,,,,,,
,Canterbury Tales,,,,,,,,,,,,,,,,,,,,,,,
,Brave New World,,,,,,,,,,,,,,,,,,,,,,,
,Thousand Splendid Suns,432,"A Thousand Splendid Suns is at once an incredible chronicle of thirty years of Afghan history and a deeply moving story of family, friendship, faith, and the salvation to be found in love.",Khaled Hosseini,2008,,,very complex,very complex,very complex,very complex,,830,7.03,5.4,10-12th ,,complex figurative language; unique geographic setting,"themes, point of view, symbols, character, conflict, foreshadowing, irony, figurative language","RL.11-12.3 - Analyze the impact of the author’s choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed).
RL.11-12.2 - Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text.
RL.9-10.2. Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text.
RL.9-10.6 Analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature.
RL. 11-12.4 - Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including words with multiple meanings or language that is particularly fresh, engaging, or beautiful.",,realistic fiction,"gender, tradition, sacrifice for family","bleak, haunting, dramatic, thought-provoking, families "